IATA,ICAO,Airline,Call sign,Country,Comments
,UHS,Ulyanovsk Higher Civil Aviation School,PILOT AIR,Russia,
,UJR,Universal Jet Rental de Mexico,UNIVERSAL JET,Mexico,
,UJT,Universal Jet Aviation,UNI-JET,United States,Cancelled 2014 - Renamed Journey Aviation with code JNY
,UKI,UK International Airlines,KHALIQ,United Kingdom,
,UKL,Ukraine Air Alliance,UKRAINE ALLIANCE,Ukraine,
,UKN,Ukraine Air Enterprise,ENTERPRISE UKRAINE,Ukraine,
,UKP,United Kingdom Home Office,POLICE,United Kingdom,
,ULT,Ultrair,ULTRAIR,United States,
,ULH,Ultimate HELI,ULTIMATEHELI,South Africa,Ultimate HELI (Pty) Ltd
,ULR,Ultimate Air,VIPER,South Africa,Ultimate Airways (Pty) Ltd
,UNC,Uni-Fly,UNICOPTER,Denmark,
,UNF,Union Flights,UNION FLIGHTS,United States,
,UNJ,Universal Jet,PROJET,Spain,
,UNS,Unsped Paket Servisi,UNSPED,Turkey,
,UNU,Unifly Servizi Aerei,UNIEURO,Italy,
,UPL,Ukrainian Pilot School,PILOT SCHOOL,Ukraine,
,URV,Uraiavia,URAI,Russia,
,USF,USAfrica Airways,AFRICA EXPRESS,United States,
,USJ,US Jet,USJET,United States,
,USX,US Express,AIR EXPRESS,United States,
,UTG,UTAGE,UTAGE,Equatorial Guinea,
,UTR,Utair South Africa,AIRUT,South Africa,
,UTS,Ukrainian State Air Traffic Service Enterprise,AIRRUH,Ukraine,
,UTU,Urartu-Air,,Armenia,
,UVA,Universal Airways,UNIVERSAL,United States,
,UVG,Universal Airlines,GUYANA JET,Guyana,
,UVM,Uvavemex,UVAVEMEX,Mexico,
,AIO,United States Air Force,AIR CHIEF,United States,Chief of Staff
,UVN,United Aviation,UNITED AVIATION,Kuwait,
,WEC,Universal Airlines,AIRGO,United States,
,QID,USAF 100th Air Refueling Wing,QUID,United States,
,UIT,University of Tromsø School of Aviation,ARCTIC,Norway,
,VAI,Volant Aviation International,,Pakistan,
,VAR,Veca Airlines,,El Salvador,
,VLR,Volare 22 X,VOLAX,Mexico,
,VDR,Voldirect,VOLDIR,France,
,VVV,Valair Aviação Lda,VALAIRJET,Portugal,
,VIL,V I Airlink,TURTLE DOVE,British Virgin Islands,
,VBA,V Bird Airlines Netherlands,VEEBEE,Netherlands,
,WIW,V-avia Airline,VEE-AVIA,Ukraine,
,VBD,V-Berd-Avia,VEEBIRD-AVIA,Armenia,
,VAC,Vacationair,VACATIONAIR,Canada,
,RDW,Valair AG (Helicoptere),ROADWATCH,Switzerland,
,VLA,Valan International Cargo Charter,NALAU,South Africa,
,VLN,Valan Limited,VALAN,Moldova,
,EHR,Valfell-Verkflug,ROTOR,Iceland,
,VAA,Van Air Europe,EUROVAN,Czech Republic,
,VGC,Vanguardia en Aviación en Colima,VANGUARDIA COLIMA,Mexico,
,VGD,Vanguard Airlines,VANGUARD AIR,United States,
,VAG,Vega,SEGA,Kazakhstan,
,WGA,Vega Air Company,WEGA FRANKO,Ukraine,
,WEL,"Veles, Ukrainian Aviation Company",VELES,Ukraine,
,VTX,Verataxis,VERATAXIS,Mexico,
,BTP,Veritair Ltd,NET RAIL,United Kingdom,
,GRV,Vernicos Aviation,NIGHT RIDER,Greece,
,KWA,Vozdushnaya Academy,VOZAIR,Kazakhstan,
,MVY,VIM-Aviaservice,,Russia,
,ENV,Victoria Aviation,ENDEAVOUR,United Kingdom,
,VCT,Viscount Air Service,VISCOUNT AIR,United States,
,SSI,Vision Airlines,SUPER JET,Nigeria,
,FXF,VIP Air Charter,FOX FLIGHT,United States,
,PAV,VIP Avia,NICOL,Kazakhstan,
,PRX,VIP Avia,PAREX,Latvia,
,VAT,Visionair,VISIONAIR,Ireland,
,VCA,VICA - Viacao Charter Aéreos,VICA,Brazil,
,VCM,Volare Air Charter Company,CARMEN,United States,
,VEA,Vega Airlines,VEGA AIRLINES,Bulgaria,
,VEC,Venescar Internacional,VECAR,Venezuela,
,VEE,Victor Echo,VICTOR ECHO,Spain,
,VEI,Virgin Express Ireland,GREEN ISLE,Ireland,
,VFT,VZ Flights,ZETA FLIGHTS,Mexico,
,VGV,Vologda State Air Enterprise,VOLOGDA AIR,Russia,
,VHA,VH-Air Industrie,AIR V-H,Angola,
,VHM,VHM Schul-und-Charterflug,EARLY BIRD,Germany,
,VIB,Vibroair Flugservice,VITUS,Germany,
,VIC,VIP Servicios Aéreos Ejecutivos,VIP-EJECUTIVO,Mexico,
,VIE,VIP Empresarial,VIP EMPRESARIAL,Mexico,
,VIF,VIF Luftahrt,VIENNA FLIGHT,Austria,
,VIG,Vega Aviation,VEGA AVIATION,Sudan,
,VIH,Vichi,VICHI,Moldova,
,VIK,Viking Airlines,SWEDJET,Sweden,
,VIN,Vinair Aeroserviços,VINAIR,Portugal,
,VJM,Viajes Ejecutivos Mexicanos,VIAJES MEXICANOS,Mexico,
,VJT,Vistajet,VISTA,Canada,
,VJT,Vistajet,VISTA MALTA,Malta,2014[2]
,VLT,Vertical-T Air Company,VERTICAL,Russia,
,VMA,Vero Monmouth Airlines,VERO MONMOUTH,United States,
,VNK,Vipport Joint Stock Company,,Russia,
,VOG,Voyager Airlines,VOYAGER AIR,Bangladesh,
,VPB,Veteran Air,VETERAN,Ukraine,
,VPV,VIP-Avia,VIP AVIA,Georgia,
,VRA,Vertair,VERITAIR,United Kingdom,
,VRE,Volare Airlines,UKRAINE VOLARE,Ukraine,
,VRL,Voar Lda,VOAR LINHAS,Angola,
,VSB,Vickers Limited,VICKERS,United Kingdom,
,VSN,Vision Airways Corporation,VISION,Canada,
,VSO,Voronezh Aircraft Manufacturing Society,VASO,Russia,
,VSS,Virign Islands Seaplane Shuttle,WATERBIRD,United States,
,VTC,Vuelos Especializados Tollocan,VUELOS TOLLOCAN,Mexico,
,VTH,Vuelos Corporativos de Tehuacan,VUELOS TEHUACAN,Mexico,
,VTK,Vostok Airlines,VOSTOK,Russia,
,VTL,Victor Tagle Larrain,VITALA,Chile,
,VTV,Vointeh,VOINTEH,Bulgaria,
,VUR,Vuelos Internos Privados VIP,VIPEC,Ecuador,
,VUS,Vuela Bus,VUELA BUS,Mexico,
,VZL,Vzlyet,VZLYET,Russia,
,WCY,Viking Express,TITAN AIR,United States,
,WEV,Victoria International Airways,VICTORIA UGANDA,Uganda,
,VNR,Viennair,VIENNAIR,Austria,defunct
,,,,,
,WGN,Western Global Airlines,WESTERN GLOBAL,United States,Allocated in 2014[29]
,WCC,West Coast Charters,WEST COAST,United States,
,WRR,WRA Inc,WRAP AIR,United States,
,XWS,WSI Corporation,,United States,
,CGG,Walmart Aviation,CHARGE,United States,
,WAS,Walsten Air Services,WALSTEN,Canada,
,GOT,WaltAir,GOTHIC,Sweden,
,WPT,Wapiti Aviation,WAPITI,Canada,
,WAV,Warbelow's Air Ventures,WARBELOW,United States,
,ATX,Warwickshire Aerocentre Ltd.,AIRTAX,United Kingdom,
,WTC,Weasua Air Transport Company,WATCO,Liberia,
,TDB,Welch Aviation,THUNDER BAY,United States,
,BLW,Wermlandsflyg AB,BLUESTAR,Sweden,
,WCB,West Africa Airlines,KILO YANKEE,Ghana,
,WTF,West African Air Transport,WESTAF AIRTRANS,Senegal,
,WAC,West African Cargo Airlines,WESTAF CARGO,Mauritania,
,WLX,West Air Luxembourg,WEST LUX,Luxembourg,
,WCR,West Caribbean Costa Rica,WEST CARIBBEAN,Costa Rica,
,,West Coast Airlines,,United States,
,WCG,West Coast Airlines,WHISKY INDIA,Ghana,
,WCA,West Coast Airways,WEST-LEONE,Sierra Leone,
,TEE,West Freugh DTEO,TEEBIRD,United Kingdom,
,WEW,West Wind Aviation,WESTWIND,Canada,
,WAA,Westair Aviation,WESTAIR WINGS,Namibia,
,WSC,Westair Cargo Airlines,WESTCAR,Côte d'Ivoire,
,PCM,Westair Industries,PAC VALLEY,United States,
,BLK,Westcoast Energy,BLUE FLAME,Canada,
,WST,Western Air,WESTERN BAHAMAS,Bahamas,
,NPC,Western Air Couriers,NORPAC,United States,
,WAE,Western Air Express,WESTERN EXPRESS,United States,
,WAL,Western Arctic Air,WESTERN ARCTIC,Canada,
,WTV,Western Aviators,WESTAVIA,United States,
,WES,Western Express Air Lines,WEST EX,Canada,
,WPA,Western Pacific Airservice,WESTPAC,Solomon Islands,
,WSL,Westflight Aviation,WEST LINE,United Kingdom,
,WSA,Westgates Airlines,WESTATES,United States,
,WHE,Westland Helicopters,WESTLAND,United Kingdom,
,WTP,Westpoint Air,WESTPOINT,Canada,
,WHT,White,WHITEJET,Portugal,
,WEA,White Eagle Aviation,WHITE EAGLE,Poland,
,WRA,White River Air Services,,Canada,
,WWL,Whyalla Airlines,,Australia,
,WIG,Wiggins Airways,WIGGINS AIRWAYS,United States,
,WHS,Wiking Helikopter Service,WEEKING,Germany,
,WFO,Wilbur's Flight Operations,WILBURS,United States,
,WLS,Williams Air,WILLIAMS AIR,United States,
,WGP,Williams Grand Prix Engineering,GRAND PRIX,United Kingdom,
,WDA,Wimbi Dira Airways,WIMBI DIRA,Democratic Republic of Congo,
,WNA,Winair,WINAIR,United States,
,WSI,Wind Spirit Air,WIND SPIRIT,United States,
,QGA,Windrose Air,QUADRIGA,Germany,
,WIA,Windward Islands Airways International,WINDWARD,Netherlands,
,WAT,Wings Air Transport,,Sudan,
,WAW,Wings Airways,WING SHUTTLE,United States,
,WOL,Wings Aviation,WINGJET,Guyana,
,WEX,Wings Express,WINGS EXPRESS,United States,
,WLB,Wings of Lebanon Aviation,WING LEBANON,Lebanon,
,WIN,Winlink,WINLINK,Saint Lucia,
,WAG,Wisconsin Air National Guard,,United States,
,WSM,Wisman Aviation,WISMAN,United States,
,WNR,Wondair on Demand Aviation,WONDAIR,Spain,
,CWY,Woodgate Aviation,CAUSEWAY,United Kingdom,
,XWW,World Weatherwatch,,Canada,
,WWM,World Wing Aviation,MANAS WING,Kyrgyzstan,
,CSW,Worldwide Air Charter Systems,CHARTER SYSTEMS,Canada,
,WWS,Worldwide Aviation Services,,Pakistan,
,WWI,Worldwide Jet Charter,WORLDWIDE,United States,
,WRT,Wright Airlines,WRIGHT-AIR,United States,defunct
,CWU,Wuhan Airlines,WUHAN AIR,China,
,WYC,Wycombe Air Centre,WYCOMBE,United Kingdom,
,WYG,Wyoming Airlines,WYOMING,United States,
,XJE,X-Jet,,Austria,
,XAB,Xabre Aerolineas,AERO XABRE,Mexico,
,XAE,Xair,AURA,Czech Republic,
,XJC,Xclusive Jet Charter Limited,EXCLUSIVE JET,United Kingdom,
,XER,Xerox Corporation,XEROX,United States,
,CXJ,Xinjiang Airlines,XINJIANG,China,
,XJT,Xjet Limited,XRAY,United Kingdom,
,GXL,XL Airways Germany,STARDUST,Germany,
,XOI,Xojet,EXOJET,United States,
,XPS,XP International,XP PARCEL,Netherlands,
,,Xpedite,BIGSPLASH,United Kingdom,
,RAG,Xstrata Nickel (Raglan Mine),RAGLAN,Canada,
,DGA,Yellow River Delta General Aviation,YELLOW RIVER,China,
,YRG,Yak Air,YAKAIR GEORGIA,Georgia,
,AKY,Yak-Service,YAK-SERVICE,Russia,
,YAK,Yakolev,YAK AVIA,Russia,Yak Design Bureau
,CYG,Yana Airlines,VICAIR,Cambodia,
,AYG,Yangon Airways,AIR YANGON,Burma,
,LYH,Yankee Lima Helicopteres,HELIGUYANE,France,
,MHD,Yas Air Kish,YAS AIR,Iran,
,ELW,Yellow Wings Air Services,YELLOW WINGS,Kenya,
,ERV,Yerevan-Avia,YEREVAN-AVIA,Armenia,
,NYT,Yeti Airlines,YETI AIRLINES,Nepal,Domestic
,YFS,Young Flying Service,YOUNG AIR,United States,
,AYU,Yuhi Air Lines,,Japan,
,AYE,Yunnan Yingan Airlines,AIR YING AN,China,
,UGN,Yuzhnaya Aircompany,PLUTON,Kazakhstan,
,BZE,Zenith Aviation,ZENSTAR,United Kingdom,2014[2]
,AZB,Zaab Air,ZAAB AIR,Ghana,
,AZJ,Zas Air,,Egypt,
,AZR,Zenith Air,ZENAIR,South Africa,
,CDC,Zhejiang Loong Airlines,HUALONG,China,
,CIT,Zanesville Aviation,ZANE,United States,
,EMR,Zenmour Airlines,ZENMOUR,Mauritania,
,EZD,Zest Airways,ZEST AIRWAYS,Philippines,
,GZQ,Zagros Air,ZAGROS,Iran,
,IZG,Zagros Airlines,ZAGROS,Iran,
,JTU,Zhetysu,ZHETYSU,Kazakhstan,
,KVZ,Z-Aero Airlines,,Ukraine,
,KZH,Zhez Air,,Kazakhstan,
,MBG,Zephyr Aviation,CHALGROVE,United Kingdom,
,MLU,Zracno Pristaniste Mali Losinj,MALI LOSINJ,Croatia,
,MZE,Zenith Aviation (Malta),,Malta,
,ORZ,Zorex,ZOREX,Spain,
,PZY,Zapolyarye Airline Company,ZAPOLYARYE,Russia,
,RZR,Zephyr Express,RECOVERY,United States,
,RZU,Zhersu Avia,ZHERSU AVIA,Kazakhstan,
,SYZ,Zil Air,ZIL AIR,Seychelles,
,TAN,Zanair,ZANAIR,Tanzania,
,ZAI,Zaire Aero Service,ZASAIR,Democratic Republic of Congo,
,ZAK,Zambia Skyways,ZAMBIA SKIES,Zambia,
,ZAR,Zairean Airlines,ZAIREAN,Domocratic Republic of Congo,
,ZAV,Zetavia,ZETAVIA,Ukraine,
,ZAW,Zoom Airways,ZED AIR,Bangladesh,
,ZMA,Zambezi Airlines,ZAMBEZI WINGS,Zambia,
,RZV,Z-Avia,ZEDAVIA,Armenia,ICAO Code and callsign no longer allocated
,ZAN,Zantop International Airlines,ZANTOP,United States,ICAO Code and callsign no longer allocated
,ZAS,ZAS Airlines of Egypt,ZAS AIRLINES,Egypt,ICAO Code and callsign no longer allocated
,CJG,Zhejiang Airlines,ZHEJIANG,China,ICAO Code and callsign no longer allocated
,CFZ,Zhongfei General Aviation,ZHONGFEI,China,
,CYN,Zhongyuan Aviation,ZHONGYUAN,China,ICAO Code and callsign no longer allocated
,ORZ,Zorex,ZOREX,Spain,
0A,GNT,Amber Air,GINTA,Lithuania,
0B,BMS,Blue Air,BLUE MESSANGER,Romania,
0C,IBL,IBL Aviation,CATOVAIR,Mauritius,
0D,DWT,Darwin Airline,DARWIN,Switzerland,
0J,JCS,Jetclub,JETCLUB,Switzerland,
0V,VFC,Vietnam Air Services Company (VASCO),VASCO AIR,Vietnam,
1A,AGT,Amadeus Global Travel Distribution,AMADEUS,Spain,
1B,,Abacus International,,Singapore,Computer reservation system
1C,,Electronic Data Systems,,Switzerland,
1D,,Radixx Solutions International,,United States,
1E,,Travelsky Technology,,China,
1F,,INFINI Travel Information,,Japan,Computer Reservation System
1G,,Galileo International,,United States,
1H,,Siren-Travel,,Russia,
1I,AMB,Deutsche Rettungsflugwacht,CIVIL AIR AMBULANCE,Germany,
1I,EJA,NetJets,EXECJET,United States,
1I,NVR,Novair,NAVIGATOR,Sweden,
1I,,Pegasus Hava Tasimaciligi,Sunturk,Turkey,
1I,,Sierra Nevada Airlines,,United States,
1I,PZR,Sky Trek International Airlines,PHAZER,United States,
1K,,Southern Cross Distribution,,Australia,
1K,,Sutra,,United States,
1L,OSY,Open Skies Consultative Commission,OPEN SKIES,United States,
1M,,JSC Transport Automated Information Systems,,Russia,
1N,,Navitaire,,United States,
1P,,Worldspan,,United States,
1Q,,Sirena,,Russia,
1R,,Hainan Phoenix Information Systems,,China,
1S,,Sabre,,United States,
1T,RNX,1Time Airline,NEXTIME,South Africa,airline defunct
1T,BUC,Bulgarian Air Charter,BULGARIAN CHARTER,Bulgaria,
1U,,ITA Software,,United States,Computer reservation system
1U,,Polyot Sirena,,Russia,
1W,WON,Wings Air,WINGS ABADI,Indonesia,Subsidiary of Lion Air
1Y,,Electronic Data Systems,,United States,
1Z,APD,Sabre Pacific,,Australia,
2A,,Deutsche Bahn,,Germany,
2B,ARD,Aerocondor,AEROCONDOR,Portugal,defunct
2C,,SNCF,,France,
2D,AOG,Aero VIP,AVIP,Argentina,defunct
2F,FTA,Frontier Flying Service,FRONTIER-AIR,United States,
2G,CRG,Cargoitalia,WHITE PELICAN,Italy,
2G*,MRR,San Juan Airlines,MARINER,United States,
2H,,Thalys,,Belgium,Not an airline (train).
,,,,,Used for codesharing
2J,VBW,Air Burkina,BURKINA,Burkina Faso,
2K,GLG,Aerogal,AEROGAL,Ecuador,Aerolíneas Galápagos SA
2L,OAW,Helvetic Airways,HELVETIC,Switzerland,
2M,MDV,Moldavian Airlines,MOLDAVIAN,Moldova,
2N,NTJ,NextJet,NEXTJET,Sweden,
2N,UMK,Yuzhmashavia,YUZMASH,Ukraine,
2O,RNE,Air Salone,AIR SALONE,Sierra Leone,
2P,GAP,Air Philippines,ORIENT PACIFIC,Philippines,
2Q,SNC,Air Cargo Carriers,NIGHT CARGO,United States,
2R,,Via Rail Canada,,Canada,
2S,SDY,Island Express,SANDY ISLE,United States,
2S,,Star Equatorial Airlines,,Guinea,
2S,TGR,Satgur Air Transport,SATGURAIR,Liberia,defunct
2T,HAM,Haiti Ambassador Airlines,,Haiti,
2U,GIP,Air Guinee Express,FUTURE EXPRESS,Guinea,
2V*,,Amtrak,,United States,Train services only
2W,WLC,Welcome Air,WELCOMEAIR,Austria,
2Z,CGN,Chang An Airlines,CHANGAN,China,
3B,CCG,Central Connect Airlines,,Czech Republic,
3C,CMV,Calima Aviación,CALIMA,Spain,
3C,CEA,RegionsAir,CORP-X,United States,formerly Corporate Airlines
3G,AYZ,Atlant-Soyuz Airlines,ATLANT-SOYUZ,Russia,defunct
3J,AAQ,Air Alliance,LIAISON,Canada,defunct
3J,WZP,Zip,ZIPPER,Canada,ICAO Code and callsign no longer allocated
3K,JSA,Jetstar Asia Airways,JETSTAR ASIA,Singapore,
3L,ISK,Intersky,INTERSKY,Austria,
3N,URG,Air Urga,URGA,Ukraine,
3O,MAC,Air Arabia Maroc,ARABIA MAROC,Morocco,This ICAO designator was previously used by Malta Air Charter
3P,TNM,Tiara Air,TIARA,Aruba,
3Q,CYH,China Yunnan Airlines,YUNNAN,China,defunct
3R,GAI,Moskovia Airlines,GROMOV AIRLINE,Russia,JSC
3S,BOX,Aerologic,GERMAN CARGO,Germany,
3S*,AEN,Aeroland Airways,,Greece,"defunct, ICAO code no longer allocated"
3T,URN,Turan Air,TURAN,Azerbaijan,
3U,CSC,Sichuan Airlines,SI CHUAN,China,
3V,TAY,TNT Airways,QUALITY,Belgium,
3W,EMX,Euromanx Airways,EUROMANX,Austria,
3W*,VNR,Wan Air,WANAIR,French Polynesia,defunct
3X,JAC,Japan Air Commuter,COMMUTER,Japan,
4A,AKL,Air Kiribati,,Kiribati,
4C,ARE,"Aires, Aerovías de Integración Regional, S.A.",AIRES,Colombia,renamed to LAN Colombia
4D,ASD,Air Sinai,AIR SINAI,Egypt,
4F,ECE,Air City,AIRCITY,Germany,
4G,GZP,Gazpromavia,GAZPROMAVIA,Russia,
4G*,,Advance Leasing Company,,United States,
4H,UBD,United Airways,UNITED BANGLADESH,Bangladesh,
4K*,AAS,Askari Aviation,AL-ASS,Pakistan,
4M,DSM,Aero 2000,LAN AR,Argentina,
4N,ANT,Air North Charter - Canada,AIR NORTH,Canada,
4R,HHI,Hamburg International,HAMBURG JET,Germany,
4S,FNC,Finalair Congo,FINALAIR CONGO,Republic of the Congo,
4T,BHP,Belair Airlines,BELAIR,Switzerland,
4U,GWI,Germanwings,GERMAN WINGS,Germany,
4Y,AIB,Airbus Industrie,AIRBUS INDUSTRIE,France,
4Y,BGA,Airbus Transport International,BELUGA,France,
4Y,RBU,Airbus France,AIRBUS FRANCE,France,
4Y,UYA,Yute Air Alaska,,United States,
5A,AIP,Alpine Air Express,ALPINE AIR,United States,
5C,ICL,CAL Cargo Air Lines,CAL,Israel,
5D,SLI,Aerolitoral,COSTERA,Mexico,
5D,UDC,DonbassAero,DONBASS AERO,Ukraine,
5F,CIR,Arctic Circle Air Service,AIR ARCTIC,United States,
5G,SSV,Skyservice Airlines,SKYTOUR,Canada,defunct
5J,CEB,Cebu Pacific,CEBU,Philippines,
5K,HFY,Hi Fly,SKY FLYER,Portugal,
5L,RSU,AeroSur,AEROSUR,Bolivia,
5M,MNT,Montserrat Airways,MONTSERRAT,Montserrat,
5M,SIB,Sibaviatrans,SIBAVIA,Russia,
5N,AUL,Nordavia,ARCHANGELSK AIR,Russia,
5O,FPO,Europe Airpost,FRENCH POST,France,
5T,MPE,Canadian North,EMPRESS,Canada,Air Norterra
5V,UKW,Lviv Airlines,UKRAINE WEST,Ukraine,
5W,AEU,Astraeus,FLYSTAR,United Kingdom,"defunct, ICAO code no longer allocated"
5X,UPS,United Parcel Service,UPS,United States,
5Y,GTI,Atlas Air,GIANT,United States,
5Z,AFX,Airfreight Express,,United Kingdom,Ceased operations 08/03/2002
5Z,BML,Bismillah Airlines,BISMILLAH,Bangladesh,
5Z,VVC,VivaColombia,VivaColombia,Colombia,"Commenced operations on May 25, 2012"
6A,CHP,Aviacsa,AVIACSA,Mexico,
6B,BLX,TUIfly Nordic,BLUESCAN,Sweden,
6E,IGO,IndiGo Airlines,IFLY,India,Interglobe Aviation
6G,AWW,Air Wales,RED DRAGON,United Kingdom,"defunct, ICAO code no longer allocated"
6H,ISR,Israir,ISRAIR,Israel,
6I,IBZ,International Business Air,INTERBIZ,Sweden,was U5
6J,JUB,Jubba Airways,JUBBA,Somalia,
6J,SNJ,Skynet Asia Airways,NEWSKY,Japan,
6K,RIT,Asian Spirit,ASIAN SPIRIT,Philippines,
6N,NRD,Nordic Regional,NORTH RIDER,Sweden,
6P,ISG,Club Air,CLUBAIR,Italy,
6Q,SLL,Slovak Airlines,SLOV LINE,Slovakia,
6R,DRU,Alrosa Air Company,MIRNY,Russia,
6U,ACX,Air Cargo Germany,LOADMASTER,Germany,defunct
6U,UKR,Air Ukraine,AIR UKRAINE,Ukraine,
6V,VGA,Air Vegas,AIR VEGAS,United States,defunct
6V,AXY,Axis Airways,AXIS,France,defunct
6V,MRW,Mars RK,AVIAMARS,Ukraine,
6W,SOV,Saratov Airlines Joint Stock Company,SARATOV AIR,Russia,
6Y,ART,Smartlynx Airlines,SMART LYNX,Latvia,
6Z,UKS,Ukrainian Cargo Airways,CARGOTRANS,Ukraine,
7A,,Aztec Worldwide Airlines,,United States,
7B,KJC,Krasnojarsky Airlines,KRASNOJARSKY AIR,Russia,defunct
7C,COY,Coyne Aviation,COYNE AIR,United Kingdom,
7C,JJA,Jeju Air,JEJU AIR,Republic of Korea,
7E,AWU,Sylt Air GmbH,SYLT-AIR,Germany,
7F,FAB,First Air,FIRST AIR,Canada,
7G,SFJ,Star Flyer,STARFLYER,Japan,
7K,KGL,Kogalymavia Air Company,KOGALYM,Russia,
7L,ERO,Sun D'Or,ECHO ROMEO,Israel,
7M,MSA,Mistral Air,AIRMERCI,Italy,
7N,CNA,Centavia,,Serbia,
7N,PWD,PAWA Dominicana,,Dominican Republic,
7O,GAL,Galaxy Air,GALAXY,Kyrgyzstan,
7O[28],TVL,Travel Service,TRAVEL SERVICE,Hungary,
7R,BRB,BRA-Transportes Aéreos,BRA-TRANSPAEREOS,Brazil,
7S,RCT,Ryan Air Service,ARCTIC TRANSPORT,United States,
7T,AGV,Air Glaciers,AIR GLACIERS,Switzerland,
7T,TOB,Tobruk Air,TOBRUK AIR,Libya,
7W,,Wayraperú,WAYRAPERÚ,Peru,
8A,BMM,Atlas Blue,ATLAS BLUE,Morocco,defunct
8B,GFI,Caribbean Star Airlines,CARIB STAR,Antigua and Barbuda,
8C,ATN,Air Transport International,AIR TRANSPORT,United States,
8C,HZT,Air Horizon,HORIZON TOGO,Togo,
8C,CXI,Shanxi Airlines,SHANXI,China,
8D,EXV,FitsAir,EXPOAVIA,Sri Lanka,
8D,,Servant Air,,United States,
8D*,SUW,Astair,,Russian Federation,Name changed to Interavia Airlines
8E,BRG,Bering Air,BERING AIR,United States,
8F,FFR,Fischer Air,FISCHER,Czech Republic,
8H,HFR,Heli France,HELIFRANCE,France,
8I,,Myway Airlines,,Italy,
8J,KMV,Komiinteravia,KOMIINTER,Russia,
8L,CGP,Cargo Plus Aviation,,United Arab Emirates,
8L,RHC,Redhill Aviation,REDAIR,United Kingdom,
8M,MXL,Maxair,MAXAIR,Sweden,
8M,MMA,Myanmar Airways International,MYANMAR,Myanmar,
8N,NKF,Barents AirLink,NORDFLIGHT,Sweden,previously Nordkalottflyg
8O,YWZ,West Coast Air,COAST AIR,Canada,
8P,PCO,Pacific Coastal Airlines,PASCO,Canada,
8Q,OHY,Onur Air,ONUR AIR,Turkey,
8Q,,Princess Air,,,no longer assigned
8Q*,BAJ,Baker Aviation,RODEO,United States,
8S,,Scorpio Aviation,,,
8T,TID,Air Tindi,,Canada,
8U,AAW,Afriqiyah Airways,AFRIQIYAH,Libya,
8V,ACP,Astral Aviation,ASTRAL CARGO,Kenya,
8V,WRF,Wright Air Service,WRIGHT FLYER,United States,
8W,PWF,Private Wings Flugcharter,PRIVATE WINGS,Germany,
8W?,,BAX Global,,,
8Y,PBU,Air Burundi,AIR-BURUNDI,Burundi,
8Y,CYZ,China Postal Airlines,CHINA POST,China,
8Z,WVL,Wizz Air Bulgaria,WIZZBUL,Bulgaria,
9A,EZX,Eagle Express Air Charter,EAGLEXPRESS,Malaysia,
9C,CQH,Spring Airlines,AIR SPRING,China,
9E,FLG,Pinnacle Airlines,FLAGSHIP,United States,
9I,HTA,Helitrans,SCANBIRD,Norway,
9I,TKY,Thai Sky Airlines,THAI SKY,Thailand,
9K,KAP,Cape Air,CAIR,United States,
9L,CJC,Colgan Air,COLGAN,United States,
9M,GLR,Central Mountain Air,GLACIER,Canada,
9O,,National Airways Cameroon,,Cameroon,
9Q,PBA,PB Air,PEEBEE AIR,Thailand,
9R,VAP,Phuket Air,PHUKET AIR,Thailand,
9T,ABS,Transwest Air,ATHABASKA,Canada,
9U,MLD,Air Moldova,AIR MOLDOVA,Moldova,
9V,VPA,Vipair Airlines,VIAIR,Kazakhstan,defunct
9W,JAI,Jet Airways,JET AIRWAYS,India,
9Y,FGE,Fly Georgia,GEORGIA WING,Georgia,
A2,CIU,Cielos Airlines,CIELOS,Peru,
A3,AEE,Aegean Airlines,AEGEAN,Greece,
A4,SWD,Southern Winds Airlines,SOUTHERN WINDS,Argentina,
A5,RLA,Airlinair,AIRLINAIR,France,
A5,HOP,Hop!,AIR HOP,France,
A6,LPV,Air Alps Aviation,ALPAV,Austria,
A7,MPD,Air Plus Comet,RED COMET,Spain,
A8,XAU,Aerolink Uganda,PEARL,Uganda,
A8,BGL,Benin Golf Air,BENIN GOLF,Benin,
A9,TGZ,Georgian Airways,TAMAZI,Georgia,
AA,AAL,American Airlines,AMERICAN,United States,
AB,BER,Air Berlin,AIR BERLIN,Germany,
AC,ACA,Air Canada,AIR CANADA,Canada,
AD,PRZ,Air Paradise International,RADISAIR,Indonesia,Defunct 2005
AD,AZU,Azul Linhas Aéreas Brasileiras,Azul,Brazil,
AE,AE,Air Ceylon,,Sri Lanka,defunct
AE,MDA,Mandarin Airlines,MANDARIN,Taiwan,
AF,AFR,Air France,AIRFRANS,France,
AH,DAH,Air Algérie,AIR ALGERIE,Algeria,
AI,AIC,Air India Limited,AIRINDIA,India,
AJ,NIG,Aero Contractors,AEROLINE,Nigeria,
AK,AXM,AirAsia,RED CAP,Malaysia,ICAO code no longer allocated
AK,ABR,Air Bridge Carriers,AIRBRIDGE,United Kingdom,defunct
AL,SYX,Skywalk Airlines,SKYWAY-EX,United States,(Astral Aviation)
AL,TXC,TransAVIAexport Airlines,TRANSEXPORT,Belarus,
AM,AMX,Aeroméxico,AEROMEXICO,Mexico,
AN,AAA,Ansett Australia,ANSETT,Australia,defunct
AO,AUZ,Australian Airlines,AUSTRALIAN,Australia,Subsidiary merged with QANTAS
